transaction_id,sender_id,receiver_id,amount,timestamp
tx_1,acct_payroll_corp,acct_employee_937,3680.35,2025-02-27 20:40:00
tx_2,acct_cycle_2,acct_cycle_3,10075.89,2025-01-04 03:55:00
tx_3,acct_user_475,acct_mule_master,2368.48,2025-02-15 12:02:00
tx_4,acct_user_2852,acct_mule_master,5150.3,2025-02-06 01:44:00
tx_5,acct_4450,acct_1518,1940.56,2025-04-16 04:01:00
tx_6,acct_user_1126,acct_subscription,45.86,2025-03-01 00:57:00
tx_7,acct_user_1647,acct_mule_master,2544.09,2025-02-13 06:15:00
tx_8,acct_user_68,acct_mule_master,6246.43,2025-03-10 07:50:00
tx_9,acct_customer_3574,acct_big_merchant,188.37,2025-04-12 10:05:00
tx_10,acct_payroll_corp,acct_employee_132,3777.24,2025-03-24 15:19:00
tx_11,acct_shell_7,acct_shell_8,12544.14,2025-02-10 02:12:00
tx_12,acct_user_382,acct_subscription,13.17,2025-01-05 09:13:00
tx_13,acct_cycle_5,acct_cycle_1,13950.94,2025-05-19 15:56:00
tx_14,acct_payroll_corp,acct_employee_267,1904.54,2025-04-13 18:07:00
tx_15,acct_shell_8,acct_shell_9,22876.9,2025-05-19 10:34:00
tx_16,acct_mule_master,acct_out_19,9525.7,2025-01-30 13:33:00
tx_17,acct_customer_172,acct_big_merchant,204.05,2025-05-17 08:50:00
tx_18,acct_user_2749,acct_mule_master,3806.0,2025-05-15 05:53:00
tx_19,acct_2027,acct_4120,609.61,2025-04-15 15:53:00
tx_20,acct_user_481,acct_mule_master,5219.27,2025-03-01 21:05:00
tx_21,acct_payroll_corp,acct_employee_209,1939.43,2025-05-11 12:27:00
tx_22,acct_payroll_corp,acct_employee_606,822.1,2025-01-14 11:49:00
tx_23,acct_mule_master,acct_out_157,9642.32,2025-05-16 09:53:00
tx_24,acct_shell_9,acct_shell_10,22063.34,2025-04-22 05:35:00
tx_25,acct_shell_7,acct_shell_8,6535.36,2025-01-14 00:13:00
tx_26,acct_mule_master,acct_out_171,10794.64,2025-01-02 11:48:00
tx_27,acct_payroll_corp,acct_employee_564,824.48,2025-01-04 19:16:00
tx_28,acct_payroll_corp,acct_employee_838,3883.47,2025-01-25 14:31:00
tx_29,acct_2656,acct_5537,575.57,2025-02-06 00:02:00
tx_30,acct_customer_152,acct_big_merchant,391.83,2025-01-18 19:21:00
tx_31,acct_mule_master,acct_out_26,5312.07,2025-03-16 19:20:00
tx_32,acct_payroll_corp,acct_employee_1072,1691.22,2025-01-30 04:05:00
