transaction_id,sender_id,receiver_id,amount,timestamp,is_fraud
tx_100000,acct_2820,acct_MULE12,8273.6,2025-01-27 00:21:00,1
tx_100001,acct_8894,acct_5664,1328.62,2025-03-15 15:10:00,0
tx_100002,acct_L20,acct_L59,16564.02,2025-03-27 21:04:00,1
tx_100003,acct_7506,acct_4566,630.76,2025-04-25 05:19:00,0
tx_100004,acct_4491,acct_5548,254.09,2025-02-25 16:15:00,0
tx_100005,acct_5306,acct_5318,1980.2,2025-01-26 00:22:00,0
tx_100006,acct_7927,acct_6510,1880.85,2025-03-07 12:07:00,0
tx_100007,acct_USER101,acct_AMAZON,258.12,2025-03-08 06:13:00,0
tx_100008,acct_L47,acct_L79,7821.93,2025-03-20 16:42:00,1
tx_100009,acct_PAYROLL2,acct_EMP310,981.18,2025-05-19 18:44:00,0
tx_100010,acct_1111,acct_MULE8,4123.51,2025-05-05 02:51:00,1
tx_100011,acct_900,acct_1377,1720.51,2025-01-14 18:24:00,0
tx_100012,acct_222,acct_5774,1830.1,2025-02-07 15:34:00,0
tx_100013,acct_USER331,acct_AMAZON,189.6,2025-05-09 04:41:00,0
tx_100014,acct_3490,acct_MULE10,7998.63,2025-04-26 21:56:00,1
tx_100015,acct_L43,acct_L110,18878.56,2025-01-13 07:44:00,1
tx_100016,acct_PAYROLL2,acct_EMP303,2526.04,2025-04-28 06:37:00,0
tx_100017,acct_3287,acct_4716,1376.39,2025-05-08 18:04:00,0
tx_100018,acct_1250,acct_MULE5,6759.76,2025-05-03 11:36:00,1
tx_100019,acct_6839,acct_5582,1256.08,2025-05-13 17:15:00,0
tx_100020,acct_4573,acct_952,842.8,2025-03-01 19:37:00,0
tx_100021,acct_PAYROLL4,acct_EMP361,2565.59,2025-03-31 05:21:00,0
tx_100022,acct_PAYROLL4,acct_EMP192,1143.45,2025-04-07 01:02:00,0
tx_100023,acct_FR4,acct_FR5,4483.97,2025-02-07 12:58:00,1
tx_100024,acct_7150,acct_8686,763.74,2025-03-01 02:40:00,0
tx_100025,acct_2164,acct_MULE14,3672.58,2025-04-01 07:32:00,1
tx_100026,acct_L40,acct_L64,7341.69,2025-03-11 00:00:00,1
tx_100027,acct_USER294,acct_AMAZON,434.7,2025-03-18 22:39:00,0
tx_100028,acct_USER692,acct_AMAZON,324.05,2025-03-10 20:53:00,0
tx_100029,acct_PAYROLL4,acct_EMP118,1418.64,2025-01-07 17:11:00,0
tx_100030,acct_USER102,acct_AMAZON,418.03,2025-05-14 23:47:00,0
tx_100031,acct_USER46,acct_AMAZON,186.79,2025-01-13 13:57:00,0
tx_100032,acct_5003,acct_2677,1178.57,2025-05-04 11:12:00,0
tx_100033,acct_7685,acct_3111,768.95,2025-03-18 06:21:00,0
tx_100034,acct_3661,acct_MULE8,8235.69,2025-01-22 10:40:00,1
tx_100035,acct_1428,acct_MULE7,5284.41,2025-04-17 15:39:00,1
tx_100036,acct_FR2,acct_FR3,7288.02,2025-03-28 07:16:00,1
tx_100037,acct_2009,acct_2530,956.46,2025-04-10 01:12:00,0
tx_100038,acct_2775,acct_MULE4,4630.63,2025-04-04 17:51:00,1
tx_100039,acct_PAYROLL5,acct_EMP150,2124.21,2025-01-31 04:10:00,0
tx_100040,acct_FR7,acct_FR1,13184.64,2025-04-05 08:24:00,1
tx_100041,acct_2281,acct_MULE10,8460.51,2025-02-13 20:10:00,1
tx_100042,acct_7645,acct_7953,167.09,2025-01-13 21:50:00,0
tx_100043,acct_L30,acct_L97,11680.77,2025-01-09 16:39:00,1
tx_100044,acct_USER158,acct_AMAZON,139.47,2025-01-20 04:00:00,0
tx_100045,acct_PAYROLL3,acct_EMP484,2704.65,2025-03-20 05:30:00,0
tx_100046,acct_8926,acct_7727,1401.62,2025-03-19 08:49:00,0
tx_100047,acct_USER734,acct_AMAZON,242.83,2025-02-20 10:35:00,0
tx_100048,acct_USER279,acct_AMAZON,217.84,2025-02-21 03:12:00,0
tx_100049,acct_PAYROLL2,acct_EMP443,1852.17,2025-04-08 15:37:00,0
tx_100050,acct_FR5,acct_FR6,11689.07,2025-05-16 19:25:00,1
